,Restaurant Name,Cuisine,Latitude,Longitude,Average Cost,Open After 8pm?,Brief Description
0,Tapas Barcelona,Spanish,42.04673582,-87.67904329,20,Yes,"Festive, warm space known for Spanish small plates is adorned with colorful modern art & posters."
1,Lao Sze Chuan,Chinese,42.0484618,-87.67947617,20,Yes,"Modern Chinese mainstay, known for an extensive selection of classic entrees in a stylish airy interior making it a festive space."
2,5411 Empanadas,Spanish,42.04730999,-87.68184903,13,Yes,"Known for Argentinean empanadas & special sauces, plus beer & wine in a laid-back setting."
3,Hokkaido Ramen,Japanese,42.04848159,-87.68272213,13,Yes,"Whimsical ramen bar, known for sushi rolls and garlic tonkatsu ramen"
4,Tomo Japanese Street Food,Japanese,42.04961238,-87.68204562,20,Yes,"Japanese street food cafe with mobile app ordering, known for hearty ramen and udon bowls. "
5,Kuni's Japanese Restaurant,Japanese,42.03421616,-87.67849042,20,Yes,Mainstay lures locals and is known for sushi & traditional Japanese cuisine in a warm space with light wood.
6,Kansaku,Japanese,42.04544263,-87.68183655,27,Yes,"Known for market-fresh sushi, noodles & Japanese standards prepared in a contemporary, intimate space."
7,Taco Diablo,Mexican,42.04705401,-87.68631413,20,Yes,"Nondescript joint known for Mexican favorites, including tacos & memorable margaritas."
8,Fridas,Mexican,42.04809707,-87.68002565,20,No,"Low-key restaurant serving Mexican-inspired breakfast & lunch, plus wraps, pancakes & French toast."
9,Edzo's Burger Shop,Burgers,42.04633412,-87.68066171,13,No,"Bustling burger joint known for creative topping combos, plus fries & shakes in simple surrounds."
10,Kabul House,Mediterranean,42.04136907,-87.70620141,20,Yes,Classic Afghan fare known for halal meats & vegetarian items is served in a stylish space with BYOB.
11,Table to Stix Ramen,Japanese,42.04730099,-87.68487647,20,Yes,Known for noodle bowls with Japanese & Korean ingredients plus small plates served in a sleek storefront.
12,Cross Rhodes,Mediterranean,42.03469908,", -87.67915254400617",13,Yes,"Local staple known for gyros, pitas & other Greek grub in a tiny, no-frills space known for its fries."
13,Trattoria Demi,Italian,42.04624359,-87.68150679,20,Yes,Warm space & sidewalk seats known for Italian staples from shrimp scampi to meatball sandwiches & wine.
14,Trattoria DOC,Italian,42.03393014,-87.68085457,20,Yes,"Known for Italian favorites plus wood-fired pizzas served up in an open, bright space popular with families."
15,Campagnola,Italian,42.03276222,-87.67884834,27,Yes,Known for simply prepared Italian dishes using local ingredients in a comfy space with exposed brick.
16,Dave's Italian Kitchen,Italian,42.05889913,-87.68145374,20,Yes,"Compact Italian eatery known for housemade pizzas, pasta dishes & calzones in a cozy setting."
17,Panino's Pizzeria,Pizza,42.04101824,-87.70003525,20,Yes,"Casual outpost of a small chain, known for pies & other Italian fare with lunch specials & a full bar."
18,Sweet Green,Salad,42.04735948,-87.6814409,20,Yes,Locavore-friendly counter-serve chain known for organic salads & bowls. Spacious.
19,Picnic,Salad,42.04686606,-87.67885248,13,Yes,"Health food takeout, delivery, and catering joint known for salads and warm bowls. "
20,Soul & Smoke,BBQ,42.05756502,-87.69453102,20,Yes,"Soul-filled hideaway known for ribs, mac and cheese, and the combination of spices in Chef Carter’s signature sauce. "
21,Union Pizzeria,Pizza,42.04102357,-87.67993293,20,Yes,Known for wood-fired Neopolitan pizzas in a brick setting. Quaint meals.
22,Graduate Homestead Room,American,42.04664036,-87.676463,27,Yes,Attached to the Graduate Hotel and known contemporary yet classic American flavors
23,Philz Coffee,Coffee,42.04684985,-87.68657394,13,No,"Laid-back local chain known for custom-blended coffees, plus teas, specialty drinks & pastries."
24,Brothers K Coffeehouse,Coffee,42.03391328,-87.67791315,13,No,"Buzzy coffee shop known for Chicago-roasted Metropolis java, Italian-style espresso & baked goods."
25,Rezas,Mediterranean,42.04596872,-87.68167577,27,Yes,"Known for Mediterranean & Persian cuisine, including vegetarian options, served in a relaxed restaurant."
26,Elephant & Vine,Vegetarian,42.04871671,-87.68130247,13,Yes,"Vegan restaurant known for ""I can't believe it's vegan"" traditional American fare such as burgers and chicken tenders. "
27,Barn Steakhouse,American,42.04822518,-87.68611028,50,Yes,"Chic spot known for New American fare, steaks & cocktails in rustic surrounds at a former stable."
